,actor.actor_id,actor.first_name,actor.last_name,actor.last_update,address.address_id,address.address,address.address2,address.district,address.city_id,address.postal_code,address.phone,address.last_update,category.category_id,category.name,category.last_update,city.city_id,city.city,city.country_id,city.last_update,customer.customer_id,customer.store_id,customer.first_name,customer.last_name,customer.email,customer.address_id,customer.active,customer.create_date,customer.last_update,film.film_id,film.title,film.description,film.release_year,film.language_id,film.original_language_id,film.rental_duration,film.rental_rate,film.length,film.replacement_cost,film.rating,film.special_features,film.last_update,film_category.film_id,film_category.category_id,film_category.last_update,inventory.inventory_id,inventory.film_id,inventory.store_id,inventory.last_update,language.language_id,language.name,language.last_update,payment.payment_id,payment.customer_id,payment.staff_id,payment.rental_id,payment.amount,payment.payment_date,payment.last_update,rental.rental_id,rental.rental_date,rental.inventory_id,rental.customer_id,rental.return_date,rental.staff_id,rental.last_update,staff.staff_id,staff.first_name,staff.last_name,staff.address_id,staff.picture,staff.email,staff.store_id,staff.active,staff.username,staff.password,staff.last_update,store.store_id,store.manager_staff_id,store.address_id,store.last_update
actor.actor_id,1.000000,0.034442,0.038304,0.040486,0.036968,0.026430,0.038837,0.026317,0.029532,0.033454,0.038462,0.025953,0.081353,0.074205,0.051698,0.040817,0.024173,0.029905,0.028482,0.070757,0.058608,0.054459,0.052278,0.047240,0.057224,0.069099,0.055748,0.055680,0.085963,0.078110,0.092050,0.074795,0.069297,0.083247,0.067416,0.061565,0.063189,0.060189,0.069053,0.087374,0.058171,0.091499,0.090461,0.068231,0.094961,0.078995,0.071727,0.078521,0.056111,0.046766,0.042281,0.041064,0.055575,0.038629,0.045979,0.038399,0.033599,0.033051,0.060924,0.044240,0.069543,0.054696,0.047390,0.053496,0.040904,0.040663,0.033558,0.031977,0.037439,0.048772,0.030415,0.036329,0.045799,0.039701,0.035111,0.031422,0.041001,0.042248,0.038053,0.040295
actor.first_name,0.034442,1.000000,0.022489,0.023770,0.027172,0.019426,0.028545,0.019343,0.021706,0.024588,0.028270,0.019075,0.038808,0.041243,0.029145,0.023965,0.015944,0.019725,0.016242,0.052006,0.043077,0.040027,0.038424,0.034721,0.042060,0.050788,0.040975,0.040925,0.050472,0.045861,0.054045,0.043915,0.040687,0.048877,0.039582,0.036147,0.037100,0.035339,0.040543,0.051300,0.034154,0.053722,0.049566,0.040060,0.045092,0.046380,0.036976,0.037033,0.032945,0.027458,0.024824,0.026130,0.040848,0.028392,0.025195,0.026557,0.019253,0.020107,0.035771,0.024711,0.036765,0.040201,0.027824,0.031409,0.024016,0.029887,0.024665,0.023503,0.027518,0.029428,0.022355,0.026701,0.033662,0.029180,0.025806,0.023095,0.028841,0.031052,0.025815,0.028229
actor.last_name,0.038304,0.022489,1.000000,0.026435,0.023980,0.017144,0.025192,0.017071,0.019156,0.021700,0.024949,0.016835,0.043159,0.045867,0.032412,0.026652,0.015784,0.019526,0.017856,0.045897,0.038017,0.035325,0.033911,0.030643,0.037119,0.044822,0.036162,0.036118,0.056130,0.051002,0.060104,0.048838,0.045248,0.054357,0.044019,0.040199,0.041260,0.039301,0.045089,0.057051,0.037983,0.059745,0.055122,0.044552,0.050147,0.051580,0.041121,0.038558,0.036638,0.030536,0.027608,0.023061,0.036050,0.025057,0.023464,0.023438,0.017146,0.017746,0.039781,0.027481,0.040887,0.035479,0.030944,0.034930,0.026709,0.026377,0.021768,0.020742,0.024285,0.031846,0.019729,0.023565,0.029708,0.025753,0.022775,0.020382,0.026772,0.027405,0.022783,0.024913
actor.last_update,0.040486,0.023770,0.026435,1.000000,0.028656,0.020488,0.030105,0.020400,0.022892,0.025932,0.029814,0.020265,0.045617,0.048479,0.034835,0.028170,0.016815,0.020802,0.027351,0.054848,0.045431,0.042214,0.040524,0.036619,0.044358,0.053563,0.043214,0.043161,0.059328,0.053907,0.063528,0.051620,0.047825,0.057453,0.048955,0.042489,0.047463,0.042389,0.047657,0.060301,0.049468,0.063148,0.058262,0.047089,0.091192,0.075542,0.068880,0.075404,0.038725,0.032275,0.031504,0.029945,0.043080,0.029944,0.033529,0.028873,0.024502,0.024101,0.042047,0.032261,0.066782,0.042398,0.033763,0.037869,0.036558,0.031520,0.026013,0.024787,0.029021,0.033660,0.023576,0.028160,0.035569,0.030775,0.027217,0.029106,0.033715,0.032749,0.027225,0.038695
address.address_id,0.036968,0.027172,0.023980,0.028656,1.000000,0.033278,0.048898,0.033135,0.037183,0.042121,0.048427,0.032677,0.054106,0.049352,0.034383,0.037672,0.027312,0.033789,0.027824,0.089088,0.073792,0.068567,0.065822,0.059479,0.072050,0.087001,0.070191,0.070106,0.034593,0.031433,0.037072,0.030704,0.029693,0.039053,0.039091,0.036801,0.035515,0.030795,0.034470,0.035161,0.024133,0.056703,0.060163,0.040454,0.043444,0.035988,0.040005,0.035923,0.033720,0.029449,0.026315,0.044761,0.069973,0.048637,0.043159,0.045494,0.032981,0.034445,0.046764,0.033747,0.043282,0.068866,0.033113,0.050895,0.030231,0.051198,0.042252,0.040261,0.047139,0.050412,0.038294,0.045741,0.057664,0.049987,0.044207,0.039563,0.049406,0.053194,0.044222,0.048357
address.address,0.026430,0.019426,0.017144,0.020488,0.033278,1.000000,0.034959,0.023690,0.026584,0.030114,0.034622,0.023362,0.026261,0.022895,0.020981,0.026933,0.019526,0.024157,0.019893,0.063693,0.052757,0.049022,0.047059,0.042524,0.051511,0.062201,0.050183,0.050122,0.026080,0.023698,0.027927,0.022692,0.021024,0.025256,0.027948,0.027364,0.025391,0.022016,0.021118,0.026508,0.017648,0.027760,0.025802,0.021120,0.030505,0.025459,0.028601,0.023739,0.024108,0.021055,0.018814,0.032002,0.050027,0.034773,0.030856,0.032525,0.023579,0.024626,0.033434,0.025093,0.030944,0.049235,0.024235,0.036387,0.021613,0.036603,0.030207,0.028784,0.033701,0.036042,0.027378,0.032702,0.041227,0.035738,0.031606,0.028285,0.035323,0.038030,0.031616,0.034572
address.address2,0.038837,0.028545,0.025192,0.030105,0.048898,0.034959,1.000000,0.034810,0.039063,0.044249,0.050874,0.034328,0.064464,0.058800,0.040965,0.039576,0.028692,0.035497,0.029230,0.093591,0.077522,0.072033,0.069149,0.062485,0.075691,0.091398,0.073739,0.073649,0.041427,0.037642,0.044360,0.036045,0.035377,0.046529,0.041067,0.038112,0.037310,0.032351,0.041068,0.042107,0.028033,0.067559,0.071680,0.048199,0.047894,0.039675,0.042026,0.039603,0.036111,0.030938,0.027645,0.047024,0.073510,0.051095,0.045341,0.047793,0.034648,0.036186,0.049128,0.034832,0.045469,0.072347,0.034786,0.053467,0.031759,0.053785,0.044387,0.042296,0.049521,0.052960,0.040230,0.048052,0.060579,0.052513,0.046442,0.041562,0.051904,0.055882,0.046457,0.050801
address.district,0.026317,0.019343,0.017071,0.020400,0.033135,0.023690,0.034810,1.000000,0.026470,0.029985,0.034474,0.023262,0.037717,0.034403,0.023968,0.026818,0.019443,0.024054,0.019808,0.063421,0.052532,0.048812,0.046858,0.042342,0.051291,0.061935,0.049968,0.049907,0.025291,0.022980,0.027082,0.022005,0.020699,0.027224,0.027828,0.025826,0.025283,0.021922,0.024029,0.025706,0.017180,0.039528,0.041939,0.028201,0.030375,0.025350,0.028479,0.023637,0.024005,0.020965,0.018733,0.031865,0.049813,0.034624,0.030725,0.032387,0.023479,0.024521,0.033291,0.023603,0.030812,0.049025,0.023572,0.036231,0.021521,0.036447,0.030078,0.028661,0.033557,0.035888,0.027261,0.032562,0.041050,0.035585,0.031471,0.028164,0.035172,0.037868,0.031481,0.034425
address.city_id,0.029532,0.021706,0.019156,0.022892,0.037183,0.026584,0.039063,0.026470,1.000000,0.033648,0.038686,0.026104,0.029343,0.025690,0.023443,0.030095,0.021818,0.026992,0.022227,0.071168,0.058949,0.054775,0.052582,0.047515,0.057557,0.069501,0.056072,0.056004,0.025785,0.016880,0.021845,0.024528,0.022682,0.020618,0.031228,0.028981,0.028371,0.024600,0.023597,0.022435,0.019279,0.029517,0.031318,0.023599,0.034086,0.028447,0.031958,0.026525,0.026937,0.023526,0.021022,0.035758,0.055898,0.038854,0.034478,0.036343,0.026347,0.027516,0.037357,0.026487,0.034576,0.055014,0.026452,0.040657,0.024150,0.040899,0.033753,0.032163,0.037657,0.040272,0.030591,0.036540,0.046065,0.039932,0.035315,0.031605,0.039468,0.042494,0.035327,0.038630
address.postal_code,0.033454,0.024588,0.021700,0.025932,0.042121,0.030114,0.044249,0.029985,0.033648,1.000000,0.043823,0.029570,0.033239,0.029973,0.026556,0.034091,0.024715,0.030576,0.025179,0.080618,0.066776,0.062048,0.059564,0.053824,0.065199,0.078729,0.063518,0.063441,0.036681,0.033329,0.039278,0.031915,0.029569,0.035522,0.035374,0.032829,0.032138,0.027867,0.029465,0.037282,0.024822,0.039043,0.036022,0.029114,0.039454,0.033707,0.036201,0.032624,0.030514,0.026649,0.023813,0.040506,0.063321,0.044013,0.039056,0.041169,0.029845,0.031170,0.042318,0.030004,0.039167,0.062319,0.029964,0.046056,0.027357,0.046330,0.038235,0.036433,0.042657,0.045619,0.034653,0.041392,0.052182,0.045235,0.040004,0.035801,0.044709,0.048136,0.040017,0.043760
