col_i,col_j,table_i,table_j,domain_i,domain_j,type_i,type_j,P_stat,P_name,P_sem,same_domain
actor.actor_id,actor.first_name,actor,actor,Tracks information about individual actors involved in film production.,Tracks information about individual actors involved in film production.,numeric,nominal,0.292222,0.1,0.034442,1
actor.actor_id,actor.last_name,actor,actor,Tracks information about individual actors involved in film production.,Tracks information about individual actors involved in film production.,numeric,nominal,0.29885,0.222222,0.038304,1
actor.actor_id,actor.last_update,actor,actor,Tracks information about individual actors involved in film production.,Tracks information about individual actors involved in film production.,numeric,nominal,0.618836,0.181818,0.040486,1
actor.actor_id,address.address_id,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,numeric,0.0,0.4,0.036968,0
actor.actor_id,address.address,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,nominal,0.2813,0.25,0.02643,0
actor.actor_id,address.address2,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,nominal,0.772305,0.125,0.038837,0
actor.actor_id,address.district,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,nominal,0.29173,0.125,0.026317,0
actor.actor_id,address.city_id,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,numeric,0.011755,0.5,0.029532,0
actor.actor_id,address.postal_code,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,numeric,0.000536,0.272727,0.033454,0
actor.actor_id,address.phone,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,numeric,2.081943,0.125,0.038462,0
actor.actor_id,address.last_update,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",numeric,nominal,0.2898,0.181818,0.025953,0
actor.actor_id,category.category_id,actor,category,Tracks information about individual actors involved in film production.,Tracks movie categories and their latest updates in the Sakila video rental store.,numeric,numeric,0.0,0.545455,0.081353,0
actor.actor_id,category.name,actor,category,Tracks information about individual actors involved in film production.,Tracks movie categories and their latest updates in the Sakila video rental store.,numeric,nominal,0.261272,0.0,0.074205,0
actor.actor_id,category.last_update,actor,category,Tracks information about individual actors involved in film production.,Tracks movie categories and their latest updates in the Sakila video rental store.,numeric,nominal,0.618836,0.181818,0.051698,0
actor.actor_id,city.city_id,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,numeric,numeric,0.0,0.5,0.040817,0
actor.actor_id,city.city,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,numeric,nominal,0.390986,0.125,0.024173,0
actor.actor_id,city.country_id,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,numeric,numeric,0.096309,0.4,0.029905,0
actor.actor_id,city.last_update,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,numeric,nominal,0.618836,0.181818,0.028482,0
actor.actor_id,customer.customer_id,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,numeric,0.0,0.545455,0.070757,0
actor.actor_id,customer.store_id,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,numeric,0.240499,0.625,0.058608,0
actor.actor_id,customer.first_name,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,nominal,0.279161,0.1,0.054459,0
actor.actor_id,customer.last_name,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,nominal,0.263061,0.222222,0.052278,0
actor.actor_id,customer.email,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,nominal,0.284342,0.125,0.04724,0
actor.actor_id,customer.address_id,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,numeric,0.085691,0.4,0.057224,0
actor.actor_id,customer.active,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,nominal,0.34002,0.375,0.069099,0
actor.actor_id,customer.create_date,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,nominal,0.33974,0.090909,0.055748,0
actor.actor_id,customer.last_update,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",numeric,nominal,0.618836,0.181818,0.05568,0
actor.actor_id,film.film_id,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,numeric,0.0,0.375,0.085963,0
actor.actor_id,film.title,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.28191,0.125,0.07811,0
actor.actor_id,film.description,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.466529,0.181818,0.09205,0
actor.actor_id,film.release_year,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,numeric,0.412062,0.083333,0.074795,0
actor.actor_id,film.language_id,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.619116,0.363636,0.069297,0
actor.actor_id,film.original_language_id,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.772305,0.2,0.083247,0
actor.actor_id,film.rental_duration,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,numeric,0.059984,0.2,0.067416,0
actor.actor_id,film.rental_rate,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,numeric,0.154829,0.181818,0.061565,0
actor.actor_id,film.length,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,numeric,0.02605,0.0,0.063189,0
actor.actor_id,film.replacement_cost,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,numeric,0.078421,0.1875,0.060189,0
actor.actor_id,film.rating,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.278624,0.125,0.069053,0
actor.actor_id,film.special_features,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.47948,0.125,0.087374,0
actor.actor_id,film.last_update,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,numeric,nominal,0.618836,0.181818,0.058171,0
actor.actor_id,film_category.film_id,actor,film_category,Tracks information about individual actors involved in film production.,The film_category table records the association between individual films and their respective categories in the Sakila video rental store.,numeric,numeric,0.0,0.375,0.091499,0
actor.actor_id,film_category.category_id,actor,film_category,Tracks information about individual actors involved in film production.,The film_category table records the association between individual films and their respective categories in the Sakila video rental store.,numeric,numeric,0.06287,0.545455,0.090461,0
actor.actor_id,film_category.last_update,actor,film_category,Tracks information about individual actors involved in film production.,The film_category table records the association between individual films and their respective categories in the Sakila video rental store.,numeric,nominal,0.618836,0.181818,0.068231,0
actor.actor_id,inventory.inventory_id,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,numeric,numeric,0.0,0.5,0.094961,0
actor.actor_id,inventory.film_id,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,numeric,numeric,0.0,0.375,0.078995,0
actor.actor_id,inventory.store_id,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,numeric,numeric,0.240499,0.625,0.071727,0
actor.actor_id,inventory.last_update,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,numeric,nominal,0.618836,0.181818,0.078521,0
actor.actor_id,language.language_id,actor,language,Tracks information about individual actors involved in film production.,Tracks various languages used in DVD rentals for user interface and film subtitles.,numeric,numeric,0.0,0.363636,0.056111,0
actor.actor_id,language.name,actor,language,Tracks information about individual actors involved in film production.,Tracks various languages used in DVD rentals for user interface and film subtitles.,numeric,nominal,0.270208,0.0,0.046766,0
actor.actor_id,language.last_update,actor,language,Tracks information about individual actors involved in film production.,Tracks various languages used in DVD rentals for user interface and film subtitles.,numeric,nominal,0.618836,0.181818,0.042281,0
actor.actor_id,payment.payment_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,numeric,0.0,0.4,0.041064,0
