col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
customer.customer_id,payment.customer_id,customer,payment,0.0,0.0,1.0,0.133928,1.0,1.0
category.last_update,city.last_update,category,city,0.0,0.0,1.0,0.02518,1.0,1.0
customer.last_update,staff.last_update,customer,staff,0.0,0.0,1.0,0.059588,1.0,1.0
customer.last_update,language.last_update,customer,language,0.0,0.0,1.0,0.039635,1.0,1.0
customer.last_update,inventory.last_update,customer,inventory,0.0,0.0,1.0,0.055288,1.0,1.0
customer.last_update,film_category.last_update,customer,film_category,0.0,0.0,1.0,0.044494,1.0,1.0
customer.last_update,film.last_update,customer,film,0.0,0.0,1.0,0.036349,1.0,1.0
customer.store_id,store.store_id,customer,store,0.0,0.0,1.0,0.078327,1.0,1.0
customer.store_id,staff.store_id,customer,staff,0.0,0.0,1.0,0.072515,1.0,1.0
customer.store_id,inventory.store_id,customer,inventory,0.0,0.0,1.0,0.063422,1.0,1.0
city.last_update,store.last_update,city,store,0.0,0.0,1.0,0.028907,1.0,1.0
city.last_update,staff.last_update,city,staff,0.0,0.0,1.0,0.02365,1.0,1.0
city.last_update,language.last_update,city,language,0.0,0.0,1.0,0.022772,1.0,1.0
city.last_update,inventory.last_update,city,inventory,0.0,0.0,1.0,0.054504,1.0,1.0
city.last_update,film_category.last_update,city,film_category,0.0,0.0,1.0,0.031808,1.0,1.0
city.last_update,film.last_update,city,film,0.0,0.0,1.0,0.035757,1.0,1.0
city.last_update,customer.last_update,city,customer,0.0,0.0,1.0,0.041908,1.0,1.0
category.last_update,store.last_update,category,store,0.0,0.0,1.0,0.035624,1.0,1.0
category.last_update,staff.last_update,category,staff,0.0,0.0,1.0,0.026795,1.0,1.0
category.last_update,language.last_update,category,language,0.0,0.0,1.0,0.035778,1.0,1.0
category.last_update,inventory.last_update,category,inventory,0.0,0.0,1.0,0.069418,1.0,1.0
category.last_update,film_category.last_update,category,film_category,0.0,0.0,1.0,0.069978,1.0,1.0
category.last_update,film.last_update,category,film,0.0,0.0,1.0,0.049224,1.0,1.0
customer.last_update,store.last_update,customer,store,0.0,0.0,1.0,0.072834,1.0,1.0
film.film_id,film_category.film_id,film,film_category,0.0,0.0,1.0,0.134082,1.0,1.0
film.film_id,inventory.film_id,film,inventory,0.0,0.0,1.0,0.115758,1.0,1.0
inventory.store_id,store.store_id,inventory,store,0.0,0.0,1.0,0.061373,1.0,1.0
staff.store_id,store.store_id,staff,store,0.0,0.0,1.0,0.048552,1.0,1.0
rental.staff_id,staff.staff_id,rental,staff,0.0,0.0,1.0,0.055981,1.0,1.0
payment.staff_id,staff.staff_id,payment,staff,0.0,0.0,1.0,0.053498,1.0,1.0
payment.staff_id,rental.staff_id,payment,rental,0.0,0.0,1.0,0.053181,1.0,1.0
language.last_update,store.last_update,language,store,0.0,0.0,1.0,0.032216,1.0,1.0
language.last_update,staff.last_update,language,staff,0.0,0.0,1.0,0.024232,1.0,1.0
inventory.last_update,store.last_update,inventory,store,0.0,0.0,1.0,0.07711,1.0,1.0
inventory.last_update,staff.last_update,inventory,staff,0.0,0.0,1.0,0.058,1.0,1.0
inventory.last_update,language.last_update,inventory,language,0.0,0.0,1.0,0.062779,1.0,1.0
inventory.store_id,staff.store_id,inventory,staff,0.0,0.0,1.0,0.042109,1.0,1.0
film.last_update,film_category.last_update,film,film_category,0.0,0.0,1.0,0.067659,1.0,1.0
film_category.last_update,store.last_update,film_category,store,0.0,0.0,1.0,0.042868,1.0,1.0
film_category.last_update,staff.last_update,film_category,staff,0.0,0.0,1.0,0.032244,1.0,1.0
film_category.last_update,language.last_update,film_category,language,0.0,0.0,1.0,0.049177,1.0,1.0
film_category.last_update,inventory.last_update,film_category,inventory,0.0,0.0,1.0,0.083535,1.0,1.0
film_category.film_id,inventory.film_id,film_category,inventory,0.0,0.0,1.0,0.123213,1.0,1.0
film.last_update,store.last_update,film,store,0.0,0.0,1.0,0.050587,1.0,1.0
film.last_update,staff.last_update,film,staff,0.0,0.0,1.0,0.03805,1.0,1.0
film.last_update,language.last_update,film,language,0.0,0.0,1.0,0.041927,1.0,1.0
film.last_update,inventory.last_update,film,inventory,0.0,0.0,1.0,0.098577,1.0,1.0
category.last_update,customer.last_update,category,customer,0.0,0.0,1.0,0.0442,1.0,1.0
staff.last_update,store.last_update,staff,store,0.0,0.0,1.0,0.041102,1.0,1.0
actor.last_update,city.last_update,actor,city,0.0,0.0,1.0,0.027351,1.0,1.0
actor.last_update,customer.last_update,actor,customer,0.0,0.0,1.0,0.043161,1.0,1.0
actor.last_update,store.last_update,actor,store,0.0,0.0,1.0,0.038695,1.0,1.0
actor.last_update,staff.last_update,actor,staff,0.0,0.0,1.0,0.029106,1.0,1.0
actor.last_update,language.last_update,actor,language,0.0,0.0,1.0,0.031504,1.0,1.0
actor.last_update,inventory.last_update,actor,inventory,0.0,0.0,1.0,0.075404,1.0,1.0
actor.last_update,film_category.last_update,actor,film_category,0.0,0.0,1.0,0.047089,1.0,1.0
actor.last_update,film.last_update,actor,film,0.0,0.0,1.0,0.049468,1.0,1.0
actor.last_update,category.last_update,actor,category,0.0,0.0,1.0,0.034835,1.0,1.0
address.last_update,payment.last_update,address,payment,0.000653,0.0001775474524795467,1.0,0.024181,0.999956,0.999956
address.city_id,city.city_id,address,city,0.011755,0.0031961260396586085,1.0,0.030095,0.999201,0.999201
inventory.inventory_id,rental.inventory_id,inventory,rental,0.011966,0.00325349589030667,1.0,0.160944,0.999187,0.999187
category.name,language.name,category,language,0.012337,0.003354368945237623,1.0,0.057734,0.999161,0.999161
actor.first_name,customer.first_name,actor,customer,0.013061,0.0035512209446177017,1.0,0.040027,0.999112,0.999112
customer.customer_id,rental.customer_id,customer,rental,0.026571,0.0072245227562542655,1.0,0.131809,0.998194,0.998194
payment.customer_id,rental.customer_id,payment,rental,0.026571,0.0072245227562542655,1.0,0.103528,0.998194,0.998194
payment.rental_id,rental.rental_id,payment,rental,0.031713,0.008622606983895657,1.0,0.081561,0.997844,0.997844
actor.last_name,customer.last_name,actor,customer,0.035845,0.009746077234501304,1.0,0.033911,0.997563,0.997563
staff.address_id,store.address_id,staff,store,0.060593,0.016474935356957387,1.0,0.044785,0.995881,0.995881
category.category_id,film_category.category_id,category,film_category,0.06287,0.017094040332908268,1.0,0.163768,0.995726,0.995726
address.address_id,customer.address_id,address,customer,0.085691,0.02329895673878229,1.0,0.07205,0.994175,0.994175
customer.address_id,staff.address_id,customer,staff,0.215401,0.058566460660868055,1.0,0.072967,0.985358,0.985358
customer.address_id,store.address_id,customer,store,0.238345,0.06480482015503454,1.0,0.068452,0.983799,0.983799
address.address_id,store.address_id,address,store,0.240499,0.06539048204269295,1.0,0.044222,0.983652,0.983652
address.address_id,staff.address_id,address,staff,0.301092,0.08186541739965035,1.0,0.047139,0.979534,0.979534
language.last_update,rental.last_update,language,rental,0.311009,0.08456180038010924,1.0,0.030437,0.97886,0.97886
customer.active,staff.active,customer,staff,0.311009,0.08456180038010924,1.0,0.107783,0.97886,0.97886
category.last_update,rental.last_update,category,rental,0.311009,0.08456180038010924,1.0,0.034613,0.97886,0.97886
customer.last_update,rental.last_update,customer,rental,0.311009,0.08456180038010924,1.0,0.045533,0.97886,0.97886
