col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
actor.actor_id,actor.first_name,actor,actor,0.292222,0.079454,0.100000,0.034442,0.305137
actor.actor_id,actor.last_name,actor,actor,0.298850,0.081256,0.222222,0.038304,0.396353
actor.actor_id,actor.last_update,actor,actor,0.618836,0.168258,0.181818,0.040486,0.344299
actor.actor_id,address.address_id,actor,address,0.000000,0.000000,0.400000,0.036968,0.550000
actor.actor_id,address.address,actor,address,0.281300,0.076484,0.250000,0.026430,0.418379
actor.actor_id,address.address2,actor,address,0.772305,0.209986,0.125000,0.038837,0.291254
actor.actor_id,address.district,actor,address,0.291730,0.079320,0.125000,0.026317,0.323920
actor.actor_id,address.city_id,actor,address,0.011755,0.003196,0.500000,0.029532,0.624201
actor.actor_id,address.postal_code,actor,address,0.000536,0.000146,0.272727,0.033454,0.454509
actor.actor_id,address.phone,actor,address,2.081943,0.566070,0.125000,0.038462,0.202233
actor.actor_id,address.last_update,actor,address,0.289800,0.078795,0.181818,0.025953,0.366665
actor.actor_id,category.category_id,actor,category,0.000000,0.000000,0.545455,0.081353,0.659091
actor.actor_id,category.name,actor,category,0.261272,0.071039,0.000000,0.074205,0.232240
actor.actor_id,category.last_update,actor,category,0.618836,0.168258,0.181818,0.051698,0.344299
actor.actor_id,city.city_id,actor,city,0.000000,0.000000,0.500000,0.040817,0.625000
actor.actor_id,city.city,actor,city,0.390986,0.106307,0.125000,0.024173,0.317173
actor.actor_id,city.country_id,actor,city,0.096309,0.026186,0.400000,0.029905,0.543454
actor.actor_id,city.last_update,actor,city,0.618836,0.168258,0.181818,0.028482,0.344299
actor.actor_id,customer.customer_id,actor,customer,0.000000,0.000000,0.545455,0.070757,0.659091
actor.actor_id,customer.store_id,actor,customer,0.240499,0.065390,0.625000,0.058608,0.702402
actor.actor_id,customer.first_name,actor,customer,0.279161,0.075902,0.100000,0.054459,0.306024
actor.actor_id,customer.last_name,actor,customer,0.263061,0.071525,0.222222,0.052278,0.398785
actor.actor_id,customer.email,actor,customer,0.284342,0.077311,0.125000,0.047240,0.324422
actor.actor_id,customer.address_id,actor,customer,0.085691,0.023299,0.400000,0.057224,0.544175
actor.actor_id,customer.active,actor,customer,0.340020,0.092450,0.375000,0.069099,0.508138
actor.actor_id,customer.create_date,actor,customer,0.339740,0.092374,0.090909,0.055748,0.295088
actor.actor_id,customer.last_update,actor,customer,0.618836,0.168258,0.181818,0.055680,0.344299
actor.actor_id,film.film_id,actor,film,0.000000,0.000000,0.375000,0.085963,0.531250
actor.actor_id,film.title,actor,film,0.281910,0.076650,0.125000,0.078110,0.324588
actor.actor_id,film.description,actor,film,0.466529,0.126847,0.181818,0.092050,0.354652
actor.actor_id,film.release_year,actor,film,0.412062,0.112038,0.083333,0.074795,0.284490
actor.actor_id,film.language_id,actor,film,0.619116,0.168335,0.363636,0.069297,0.480643
actor.actor_id,film.original_language_id,actor,film,0.772305,0.209986,0.200000,0.083247,0.347504
actor.actor_id,film.rental_duration,actor,film,0.059984,0.016309,0.200000,0.067416,0.395923
actor.actor_id,film.rental_rate,actor,film,0.154829,0.042097,0.181818,0.061565,0.375839
actor.actor_id,film.length,actor,film,0.026050,0.007083,0.000000,0.063189,0.248229
