,actor.actor_id,actor.first_name,actor.last_name,actor.last_update,address.address,address.address2,address.address_id,address.city_id,address.district,address.last_update,address.phone,address.postal_code,category.category_id,category.last_update,category.name,city.city,city.city_id,city.country_id,city.last_update,customer.active,customer.address_id,customer.create_date,customer.customer_id,customer.email,customer.first_name,customer.last_name,customer.last_update,customer.store_id,film.description,film.film_id,film.language_id,film.last_update,film.length,film.original_language_id,film.rating,film.release_year,film.rental_duration,film.rental_rate,film.replacement_cost,film.special_features,film.title,film_category.category_id,film_category.film_id,film_category.last_update,inventory.film_id,inventory.inventory_id,inventory.last_update,inventory.store_id,language.language_id,language.last_update,language.name,payment.amount,payment.customer_id,payment.last_update,payment.payment_date,payment.payment_id,payment.rental_id,payment.staff_id,rental.customer_id,rental.inventory_id,rental.last_update,rental.rental_date,rental.rental_id,rental.return_date,rental.staff_id,staff.active,staff.address_id,staff.email,staff.first_name,staff.last_name,staff.last_update,staff.password,staff.picture,staff.staff_id,staff.store_id,staff.username,store.address_id,store.last_update,store.manager_staff_id,store.store_id
actor.actor_id,1.000000,0.305137,0.396353,0.344299,0.418379,0.291254,0.550000,0.624201,0.323920,0.366665,0.202233,0.454509,0.659091,0.344299,0.232240,0.317173,0.625000,0.543454,0.344299,0.508138,0.544175,0.295088,0.659091,0.324422,0.306024,0.398785,0.344299,0.702402,0.354652,0.531250,0.480643,0.344299,0.248229,0.347504,0.324811,0.284490,0.395923,0.375839,0.385294,0.311158,0.324588,0.654818,0.531250,0.344299,0.531250,0.625000,0.344299,0.702402,0.522727,0.344299,0.231633,0.434550,0.659091,0.366620,0.355257,0.550000,0.581177,0.514902,0.657285,0.624187,0.363270,0.366620,0.583333,0.434802,0.514902,0.489166,0.529534,0.320666,0.302818,0.394489,0.344299,0.395458,0.322444,0.514902,0.702402,0.227818,0.533652,0.344299,0.468027,0.702402
actor.first_name,0.305137,1.000000,0.774543,0.473870,0.249258,0.186872,0.305137,0.379337,0.474967,0.518340,0.245193,0.434718,0.230137,0.473870,0.547896,0.393275,0.380137,0.301248,0.473870,0.372293,0.301970,0.495010,0.298318,0.324464,0.999112,0.773018,0.473870,0.291447,0.237945,0.455137,0.201153,0.473870,0.306024,0.374372,0.474071,0.329785,0.328717,0.424158,0.321214,0.377864,0.474299,0.228521,0.455137,0.473870,0.455137,0.292636,0.473870,0.291447,0.230137,0.473870,0.547058,0.302186,0.298318,0.518384,0.495657,0.230137,0.302981,0.291447,0.299170,0.293450,0.495010,0.450202,0.305137,0.450202,0.291447,0.351153,0.287328,0.297274,0.973223,0.748223,0.473870,0.276120,0.349312,0.291447,0.291447,0.598223,0.291447,0.473870,0.357072,0.291447
actor.last_name,0.396353,0.774543,1.000000,0.677965,0.332140,0.269754,0.229686,0.312220,0.416179,0.722435,0.261409,0.502449,0.297868,0.677965,0.580777,0.327064,0.313019,0.300798,0.677965,0.471836,0.226519,0.494560,0.366050,0.332347,0.773658,0.997563,0.677965,0.299330,0.306583,0.313019,0.405241,0.677965,0.397240,0.336421,0.498614,0.454335,0.378267,0.491889,0.414514,0.378321,0.415515,0.296252,0.313019,0.677965,0.313019,0.292186,0.677965,0.299330,0.434231,0.677965,0.579938,0.393402,0.366050,0.722480,0.557707,0.379686,0.310864,0.299330,0.366901,0.292999,0.699106,0.517934,0.313019,0.449752,0.299330,0.450696,0.211878,0.305156,0.747767,0.972770,0.677965,0.367336,0.290528,0.299330,0.299330,0.639434,0.215996,0.677965,0.356621,0.299330
actor.last_update,0.344299,0.473870,0.677965,1.000000,0.270066,0.268484,0.276117,0.343500,0.405721,0.955441,0.209355,0.412517,0.276117,1.000000,0.339610,0.262610,0.344299,0.204047,1.000000,0.433386,0.272950,0.501587,0.344299,0.269832,0.474758,0.680398,1.000000,0.357333,0.325480,0.344299,0.386344,1.000000,0.345186,0.312803,0.338431,0.405716,0.406516,0.487954,0.345888,0.329028,0.338207,0.274502,0.344299,1.000000,0.344299,0.207935,1.000000,0.357333,0.344299,1.000000,0.340448,0.409530,0.344299,0.955486,0.517986,0.276117,0.273961,0.357333,0.345151,0.208749,0.978860,0.546394,0.276117,0.478213,0.357333,0.454526,0.285033,0.297032,0.500642,0.705193,1.000000,0.454523,0.377715,0.357333,0.357333,0.432461,0.289152,1.000000,0.314720,0.357333
address.address,0.418379,0.249258,0.332140,0.270066,1.000000,0.843864,0.755879,0.230080,0.343041,0.314537,0.203078,0.299097,0.367242,0.270066,0.355761,0.242544,0.230879,0.301991,0.270066,0.330153,0.752712,0.291207,0.299061,0.249761,0.249832,0.332071,0.270066,0.404689,0.305409,0.230879,0.338234,0.270066,0.231766,0.262614,0.249788,0.330528,0.379460,0.356718,0.368831,0.377143,0.357101,0.365627,0.230879,0.270066,0.230879,0.293379,0.270066,0.404689,0.367242,0.270066,0.354922,0.335071,0.299061,0.314581,0.308899,0.305879,0.228723,0.217189,0.299913,0.294192,0.291207,0.314581,0.230879,0.314581,0.217189,0.309013,0.738071,0.223016,0.223941,0.307279,0.270066,0.295613,0.125055,0.217189,0.404689,0.317691,0.742189,0.270066,0.357814,0.404689
address.address2,0.291254,0.186872,0.269754,0.268484,0.843864,1.000000,0.722504,0.196704,0.186905,0.255218,0.156310,0.197540,0.333867,0.268484,0.282725,0.180158,0.197504,0.268615,0.268484,0.304097,0.719337,0.278547,0.265685,0.187407,0.187759,0.272187,0.268484,0.398038,0.243205,0.197504,0.336647,0.268484,0.198391,0.325000,0.187796,0.270284,0.346084,0.272977,0.335456,0.267893,0.281323,0.332252,0.197504,0.268484,0.197504,0.260003,0.268484,0.398038,0.333867,0.268484,0.282118,0.288303,0.265685,0.255174,0.249492,0.272504,0.195348,0.210538,0.266537,0.260817,0.278547,0.186992,0.197504,0.255174,0.210538,0.294034,0.731419,0.210375,0.211277,0.294615,0.268484,0.200325,0.127311,0.210538,0.398038,0.305027,0.735538,0.268484,0.351163,0.398038
address.address_id,0.550000,0.305137,0.229686,0.276117,0.755879,0.722504,1.000000,0.474201,0.380170,0.298483,0.183483,0.318145,0.522727,0.276117,0.307240,0.223423,0.475000,0.468454,0.276117,0.301888,0.994175,0.295088,0.454545,0.380672,0.306024,0.232119,0.276117,0.608652,0.286470,0.475000,0.480643,0.276117,0.323229,0.347504,0.306061,0.346991,0.345922,0.239476,0.385294,0.311158,0.305838,0.518453,0.475000,0.276117,0.475000,0.437500,0.276117,0.608652,0.522727,0.276117,0.306633,0.322050,0.454545,0.298439,0.355257,0.550000,0.472844,0.458652,0.452739,0.436687,0.295088,0.230257,0.475000,0.298439,0.458652,0.282916,0.979534,0.376916,0.302818,0.227822,0.276117,0.357958,0.134944,0.458652,0.608652,0.302818,0.983652,0.276117,0.514902,0.608652
address.city_id,0.624201,0.379337,0.312220,0.343500,0.230080,0.196704,0.474201,1.000000,0.416871,0.365866,0.109282,0.453710,0.658292,0.343500,0.231441,0.651196,0.999201,0.692654,0.343500,0.333231,0.468376,0.430653,0.590110,0.337016,0.380225,0.314653,0.343500,0.514103,0.353853,0.677773,0.411663,0.343500,0.247430,0.346704,0.337405,0.283691,0.395124,0.376638,0.337620,0.357234,0.444324,0.654019,0.677773,0.343500,0.677773,0.561701,0.343500,0.514103,0.453746,0.343500,0.230834,0.247849,0.590110,0.365821,0.291957,0.474201,0.581976,0.514103,0.588304,0.560888,0.362471,0.365821,0.582534,0.365821,0.514103,0.314260,0.453735,0.333260,0.377019,0.310356,0.343500,0.300909,0.241288,0.514103,0.514103,0.227019,0.457853,0.343500,0.420353,0.514103
address.district,0.323920,0.474967,0.416179,0.405721,0.343041,0.186905,0.380170,0.416871,1.000000,0.450191,0.095226,0.434752,0.298352,0.405721,0.247929,0.430744,0.417670,0.376282,0.405721,0.409824,0.377003,0.358680,0.434715,0.343248,0.474145,0.414716,0.405721,0.310230,0.578823,0.417670,0.201183,0.405721,0.231057,0.224405,0.436601,0.267318,0.378751,0.356009,0.321247,0.330959,0.436832,0.296736,0.417670,0.405721,0.417670,0.355170,0.405721,0.310230,0.230170,0.405721,0.247090,0.320970,0.434715,0.450236,0.370691,0.305170,0.311348,0.216480,0.435567,0.355984,0.426862,0.382054,0.313503,0.382054,0.216480,0.388683,0.362362,0.316057,0.448254,0.389922,0.405721,0.294904,0.311846,0.216480,0.310230,0.317004,0.366480,0.405721,0.310230,0.310230
address.last_update,0.366665,0.518340,0.722435,0.955441,0.314537,0.255218,0.298483,0.365866,0.450191,1.000000,0.231721,0.434883,0.298483,0.955441,0.384080,0.307081,0.366665,0.226413,0.955441,0.431108,0.295316,0.499309,0.366665,0.314330,0.519228,0.724868,0.955441,0.352975,0.370039,0.366665,0.341786,0.955441,0.367552,0.299536,0.382900,0.392450,0.428882,0.492504,0.368254,0.373509,0.382677,0.296867,0.366665,0.955441,0.366665,0.230301,0.955441,0.352975,0.366665,0.955441,0.384918,0.431896,0.366665,0.999956,0.562456,0.298483,0.296327,0.352975,0.367517,0.231115,0.976582,0.590864,0.298483,0.522683,0.352975,0.409968,0.280675,0.294773,0.498364,0.702915,0.955441,0.410009,0.333245,0.352975,0.352975,0.430183,0.284793,0.955441,0.310362,0.352975
