table,domain_id,domain_name
customer,0,Customer and Store Management
store,0,Customer and Store Management
inventory,1,Film Rental Management
payment,1,Film Rental Management
rental,1,Film Rental Management
address,2,Location and Category Management
city,2,Location and Category Management
film_category,2,Location and Category Management
staff,3,Staff and Store Management
actor,4,Film Metadata Management
category,4,Film Metadata Management
film,5,MediaCatalogManagement
language,5,MediaCatalogManagement
